"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 11:58:49 GMT 2024","Sun Nov 24 11:59:02 GMT 2024","13182","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 11:56:43 GMT 2024","Sun Nov 24 11:57:36 GMT 2024","53624","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sun Nov 24 11:58:30 GMT 2024","Sun Nov 24 11:58:49 GMT 2024","18334","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to build type,through the ui",""
"passed","Sun Nov 24 11:57:50 GMT 2024","Sun Nov 24 11:58:30 GMT 2024","39747","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingaBuildTypeWithAnEmptyInputRepositoryURL","The user cannot create a build configuration without entering the address in the Repository URL input",""
