"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 12:58:50 GMT 2024","Sun Nov 24 12:59:08 GMT 2024","17724","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to build type,through the ui",""
"passed","Sun Nov 24 12:59:08 GMT 2024","Sun Nov 24 12:59:21 GMT 2024","13375","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 12:58:10 GMT 2024","Sun Nov 24 12:58:49 GMT 2024","39208","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingaBuildTypeWithAnEmptyInputRepositoryURL","The user cannot create a build configuration without entering the address in the Repository URL input",""
"passed","Sun Nov 24 12:56:59 GMT 2024","Sun Nov 24 12:57:58 GMT 2024","59099","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
