"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 12:28:05 GMT 2024","Sun Nov 24 12:28:47 GMT 2024","42079","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingaBuildTypeWithAnEmptyInputRepositoryURL","The user cannot create a build configuration without entering the address in the Repository URL input",""
"passed","Sun Nov 24 12:27:01 GMT 2024","Sun Nov 24 12:27:51 GMT 2024","50215","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 12:29:08 GMT 2024","Sun Nov 24 12:29:22 GMT 2024","14794","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"failed","Sun Nov 24 12:28:47 GMT 2024","Sun Nov 24 12:29:07 GMT 2024","19958","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to build type,through the ui",""
