"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 24 17:12:37 GMT 2024","Sun Nov 24 17:13:34 GMT 2024","57416","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Nov 24 17:14:41 GMT 2024","Sun Nov 24 17:14:53 GMT 2024","12800","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 17:13:47 GMT 2024","Sun Nov 24 17:14:23 GMT 2024","36460","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingaBuildTypeWithAnEmptyInputRepositoryURL","The user cannot create a build configuration without entering the address in the Repository URL input",""
"failed","Sun Nov 24 17:14:23 GMT 2024","Sun Nov 24 17:14:40 GMT 2024","16700","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to build type,through the ui",""
