"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 24 17:41:57 GMT 2024","Sun Nov 24 17:42:15 GMT 2024","17637","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesBuildType","User should be able to build type,through the ui",""
"passed","Sun Nov 24 17:41:15 GMT 2024","Sun Nov 24 17:41:57 GMT 2024","42243","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","creatingaBuildTypeWithAnEmptyInputRepositoryURL","The user cannot create a build configuration without entering the address in the Repository URL input",""
"passed","Sun Nov 24 17:42:15 GMT 2024","Sun Nov 24 17:42:29 GMT 2024","13874","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Nov 24 17:40:11 GMT 2024","Sun Nov 24 17:41:02 GMT 2024","50764","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
